Number,Read,Write,RWRatio
10050232,2577,2013,56:44
10050233,2217,1441,60:40
10050234,2165,1564,58:42
10050235,0,0,0
10050236,2665,1622,62:38
10050237,2842,1892,60:40
10050238,2519,1836,57:43
10050239,2447,1770,58:42
10050240,2973,1687,63:37
10050241,2608,1726,60:40
10050242,2648,1830,59:41
10050243,2503,1876,57:43
10050244,1946,1164,62:38
10050245,2720,1690,61:39
10050246,0,0,0
10050247,2199,1805,54:46
10050248,2564,1973,56:44
10050249,2247,1543,59:41
10050250,2315,1688,57:43
10050251,1653,1343,55:45
10050252,2073,1516,57:43
10050253,2122,1661,56:44
10050254,2143,1513,58:42
10050255,0,0,0
10050256,2584,1755,59:41
10050257,2484,1707,59:41
10050258,2339,1800,56:44
10050259,2706,1799,60:40
10050260,2958,2033,59:41
10050261,3408,1621,67:33
10050262,2781,1913,59:41
10050263,2543,1786,58:42
10050264,2705,1911,58:42
10050265,2940,2157,57:43
10050266,2576,1746,59:41
10050267,2418,1521,61:39
10050268,2510,1540,61:39
10050269,2399,1755,57:43
10050270,3369,1568,68:32
10050271,2376,1820,56:44
10050272,2195,1264,63:37
10050273,2117,1613,56:44
10050274,2506,1773,58:42
10050275,2377,1897,55:45
10050276,2918,1989,59:41
10050277,2018,1282,61:39
10050278,2160,1449,59:41
10050279,2478,1464,62:38
10050280,1907,1283,59:41
10050281,2268,1252,64:36
10050282,2862,2049,58:42
10050283,2480,1804,57:43
10050284,2214,1372,61:39
10050285,2255,1208,65:35
10050286,0,0,0
10050287,2600,2031,56:44
10050288,2257,1442,61:39
10050289,2721,1676,61:39
10050290,3120,2088,59:41
10050291,2365,1204,66:34
10050292,2337,1382,62:38
10050293,2447,1485,62:38
10050294,2447,1907,56:44
10050295,2324,1716,57:43
10050296,3175,2283,58:42
10050297,1999,1619,55:45
10050298,2277,1590,58:42
10050299,2640,2204,54:46
10050300,2897,2109,57:43
10050301,2621,1953,57:43
10050302,2544,1800,58:42
10050303,2612,1892,57:43
10050304,2647,1483,64:36
10050305,2283,1722,57:43
10050306,2986,1785,62:38
10050307,2147,1323,61:39
10050308,2020,1131,64:36
10050309,0,0,0
10050310,2658,1671,61:39
10050311,2425,1703,58:42
10050312,2050,1448,58:42
10050313,2224,1792,55:45
10050314,2584,1963,56:44
10050315,2871,2170,56:44
10050316,2335,1575,59:41
10050317,2278,1625,58:42
10050318,2436,1915,55:45
10050319,2243,1379,61:39
10050320,2881,1936,59:41
10050321,3139,2283,57:43
10050322,2413,1887,56:44
10050323,2825,1876,60:40
10050324,2458,1517,61:39
10050325,0,0,0
10050326,2505,1485,62:38
10050327,2347,1839,56:44
10050328,2469,1508,62:38
10050329,1045,893,53:47
10050330,1705,1341,55:45
10050331,2643,1687,61:39
10050332,2188,1214,64:36
10050333,2395,1744,57:43
10050334,3037,2306,56:44
10050335,2315,1812,56:44
10050336,3058,1265,70:30
10050337,2372,1938,55:45
10050338,0,0,0
10050339,2044,1387,59:41
10050340,2407,1860,56:44
10050341,2273,1772,56:44
10050342,2543,1550,62:38
10050343,2301,1622,58:42
10050344,2486,1390,64:36
10050345,2052,1550,56:44
10050346,2167,1210,64:36
10050347,2349,1292,64:36
10050348,2412,1250,65:35
10050349,2714,1466,64:36
10050350,2986,1253,70:30
10050351,2594,1751,59:41
10050352,2412,1898,55:45
10050353,2322,1662,58:42
10050354,2287,1525,59:41
10050355,2491,1943,56:44
10050356,2387,1560,60:40
10050357,2356,1921,55:45
10050358,2794,1987,58:42
10050359,2586,1673,60:40
10050360,2049,1112,64:36
10050361,2377,1606,59:41
10050362,2453,1674,59:41
10050363,2642,2042,56:44
10050364,2542,1632,60:40
10050365,2467,1921,56:44
10050366,2511,2031,55:45
10050367,2034,1255,61:39
10050368,2233,1509,59:41
10050369,0,0,0
10050370,2664,1911,58:42
10050371,2631,1886,58:42
10050372,2055,1175,63:37
10050373,2076,1635,55:45
10050374,2063,1033,66:34
10050375,2073,1403,59:41
10050376,2392,1616,59:41
10050377,2313,1722,57:43
10050378,1923,1452,56:44
10050379,1938,1455,57:43
10050380,0,0,0
10050381,2471,1535,61:39
10050382,2601,2135,54:46
10050383,2398,1907,55:45
10050384,2056,1678,55:45
10050385,2382,1713,58:42
10050386,0,0,0
10050387,2416,1929,55:45
10050388,2204,1331,62:38
10050389,2323,1479,61:39
10050390,2425,1679,59:41
10050391,2768,1634,62:38
10050392,0,0,0
10050393,2188,1344,61:39
10050394,2081,1175,63:37
10050395,2730,2181,55:45
10050396,2144,1472,59:41
10050397,1564,1160,57:43
10050398,2003,1503,57:43
10050399,2409,1860,56:44
10050400,2919,2025,59:41
10050401,2777,1785,60:40
10050402,2383,1604,59:41
10050403,3123,2218,58:42
10050404,2290,1468,60:40
10050405,2318,1783,56:44
10050406,2531,1757,59:41
10050407,2863,2202,56:44
10050408,2336,1579,59:41
10050409,2573,1891,57:43
10050410,2415,1216,66:34
10050411,2643,1707,60:40
10050412,2347,1338,63:37
10050413,2519,2083,54:46
10050414,2333,1683,58:42
10050415,2226,1775,55:45
10050416,2408,1426,62:38
10050417,2306,1797,56:44
10050418,2081,1413,59:41
10050419,2204,1389,61:39
10050420,2483,1642,60:40
10050421,2511,1507,62:38
10050422,2448,1661,59:41
10050423,2493,2021,55:45
10050424,2343,1388,62:38
10050425,2580,1303,66:34
10050426,2414,1919,55:45
10050427,2734,1852,59:41
10050428,2688,1718,61:39
10050429,2350,1581,59:41
10050430,2528,1686,59:41
10050431,2865,1755,62:38
10050432,2537,1691,60:40
10050433,2091,1598,56:44
10050434,2728,2150,55:45
10050435,2596,1984,56:44
10050436,2592,1274,67:33
10050437,2384,1740,57:43
10050438,2682,1396,65:35
10050439,2731,1870,59:41
10050440,2610,1592,62:38
10050441,1440,1295,52:48
10050442,1973,1665,54:46
10050443,2491,1551,61:39
10050444,2582,1697,60:40
10050445,1183,1030,53:47
10050446,2662,2122,55:45
10050447,2425,1864,56:44
10050448,2228,1302,63:37
10050449,2519,1697,59:41
10050450,2530,1786,58:42
10050451,2282,1272,64:36
10050452,2636,1543,63:37
10050453,1811,1184,60:40
10050454,2911,2140,57:43
10050455,2335,1805,56:44
10050456,2381,1667,58:42
10050457,2041,1520,57:43
10050458,2678,1568,63:37
10050459,1843,1304,58:42
10050460,2329,1630,58:42
10050461,1936,1639,54:46
10050462,2511,2012,55:45
10050463,2480,1968,55:45
10050464,2844,1801,61:39
10050465,0,0,0
10050466,2280,1768,56:44
10050467,2987,1391,68:32
10050468,2608,1740,59:41
10050469,2492,1980,55:45
10050470,2561,1414,64:36
10050471,2416,1686,58:42
10050472,3514,1863,65:35
10050473,2831,1615,63:37
10050474,2385,1679,58:42
10050475,2478,1406,63:37
10050476,2631,1642,61:39
10050477,2312,1500,60:40
10050478,2796,1594,63:37
10050479,2055,1270,61:39
10050480,1911,1521,55:45
10050481,2068,1298,61:39
10050482,1556,1310,54:46
10050483,2676,1568,63:37
10050484,1405,1287,52:48
10050485,2626,2070,55:45
10050486,1173,1184,49:51
10050487,2612,1734,60:40
10050488,2443,1782,57:43
10050489,2771,1969,58:42
10050490,2454,1371,64:36
10050491,0,0,0
10050492,2509,1613,60:40
10050493,2494,2053,54:46
10050494,2369,1285,64:36
10050495,2804,2207,55:45
10050496,2899,1656,63:37
10050497,2525,1684,59:41
10050498,2535,1900,57:43
10050499,2492,1505,62:38
10050500,2147,1217,63:37
10050501,2042,1079,65:35
10050502,2785,2011,58:42
10050503,2395,1527,61:39
10050504,0,0,0
10050505,0,0,0
10050506,2728,1819,59:41
10050507,2311,1675,57:43
10050508,2056,1540,57:43
10050509,2301,1440,61:39
10050510,2483,1752,58:42
10050511,2358,1352,63:37
10050512,2626,1519,63:37
10050513,1374,937,59:41
10050514,2599,2021,56:44
10050515,2314,1617,58:42
10050516,2542,1561,61:39
10050517,2235,1450,60:40
10050518,2605,1612,61:39
10050519,2088,1305,61:39
10050520,3282,2023,61:39
10050521,2781,1780,60:40
10050522,2478,1479,62:38
10050523,2103,1217,63:37
10050524,1332,980,57:43
10050525,1894,1054,64:36
10050526,1989,913,68:32
10050527,2547,1599,61:39
10050528,2273,1592,58:42
10050529,2148,1525,58:42
10050530,1745,1348,56:44
10050531,186,153,54:46
10050532,1394,847,62:38
10050533,1971,1271,60:40
10050534,2455,1979,55:45
10050535,2834,1783,61:39
10050536,1550,1194,56:44
10050537,1436,949,60:40
10050538,1099,909,54:46
10050539,2145,1572,57:43
10050540,2217,1298,63:37
10050541,2077,1237,62:38
10050542,2384,1716,58:42
10050543,2763,1176,70:30
10050544,2004,1472,57:43
10050545,1687,1582,51:49
10050546,2657,1819,59:41
10050547,2020,1614,55:45
10050548,2033,1648,55:45
10050549,0,0,0
10050550,2173,1723,55:45
10050551,1802,1534,54:46
10050552,1166,823,58:42
10050553,0,0,0
10050554,2674,1707,61:39
10050555,2764,1132,70:30
10050556,2518,1605,61:39
10050557,2370,1425,62:38
10050558,2677,2026,56:44
10050559,3435,2682,56:44
10050560,2879,1566,64:36
10050561,0,0,0
10050562,2211,1890,53:47
10050563,2511,1723,59:41
10050564,2671,2178,55:45
10050565,2844,1998,58:42
10050566,2480,1771,58:42
10050567,2719,1853,59:41
10050568,2844,2107,57:43
10050569,2402,1781,57:43
10050570,2415,1659,59:41
10050571,2629,1792,59:41
10050572,2292,1466,60:40
10050573,2867,2187,56:44
10050574,2627,1610,62:38
10050575,2345,1624,59:41
10050576,2676,1686,61:39
10050577,2372,1972,54:46
10050578,2430,1623,59:41
10050579,2744,1957,58:42
10050580,0,0,0
10050581,2859,1936,59:41
10050582,2282,1656,57:43
10050583,2632,1793,59:41
10050584,2299,1345,63:37
10050585,2897,1263,69:31
10050586,1599,963,62:38
10050587,2655,2044,56:44
10050588,0,0,0
10050589,2025,1363,59:41
10050590,3284,2005,62:38
10050591,2526,1508,62:38
10050592,1572,850,64:36
10050593,2250,1134,66:34
10050594,2492,1944,56:44
10050595,2419,1805,57:43
10050596,2265,1674,57:43
10050597,0,0,0
10050598,2176,1164,65:35
10050599,2446,1800,57:43
10050600,0,0,0
10050601,2512,1733,59:41
10050602,3704,2628,58:42
10050603,3214,2044,61:39
10050604,0,0,0
10050605,3041,1925,61:39
10050606,2906,2144,57:43
10050607,1839,999,64:36
10050608,2490,1809,57:43
10050609,2401,1800,57:43
10050610,0,0,0
10050611,1973,1310,60:40
10050612,2505,1681,59:41
10050613,0,0,0
10050614,2416,1803,57:43
10050615,2659,1905,58:42
10050616,2489,1847,57:43
10050617,3037,1827,62:38
10050618,2551,1822,58:42
10050619,2414,1694,58:42
10050620,2730,1831,59:41
10050621,0,0,0
10050622,2354,1928,54:46
10050623,2346,2077,53:47
10050624,2692,2045,56:44
10050625,2518,1957,56:44
10050626,2567,1840,58:42
10050627,1974,1265,60:40
10050628,2161,1425,60:40
10050629,3295,1430,69:31
10050630,2587,1528,62:38
10050631,2459,1987,55:45
10050632,2552,1738,59:41
10050633,1316,1017,56:44
10050634,2284,1613,58:42
10050635,2856,2357,54:46
10050636,2546,2098,54:46
10050637,2780,1704,61:39
10050638,0,0,0
10050639,2630,1696,60:40
10050640,2137,1755,54:46
10050641,2827,1876,60:40
10050642,2450,1454,62:38
10050643,2587,1890,57:43
10050644,2732,1704,61:39
10050645,2933,1923,60:40
10050646,3002,2004,59:41
10050647,2797,2138,56:44
10050648,2412,1616,59:41
10050649,2632,1850,58:42
10050650,2926,1599,64:36
10050651,3147,1969,61:39
10050652,1681,1159,59:41
10050653,2309,1450,61:39
10050654,1990,1027,65:35
10050655,2491,1529,61:39
10050656,2995,2075,59:41
10050657,2669,1774,60:40
10050658,2694,1826,59:41
10050659,2730,1916,58:42
10050660,3299,2093,61:39
10050661,2671,2031,56:44
10050662,2697,1876,58:42
10050663,2631,1607,62:38
10050664,2542,1889,57:43
10050665,0,0,0
10050666,2926,2071,58:42
10050667,2534,1908,57:43
10050668,2694,1858,59:41
10050669,2739,1658,62:38
10050670,2247,1443,60:40
10050671,2794,1682,62:38
10050672,2173,1754,55:45
10050673,2412,1545,60:40
10050674,2218,1351,62:38
10050675,2741,1630,62:38
10050676,1756,1408,55:45
10050677,2825,1624,63:37
10050678,2743,1942,58:42
10050679,2788,1884,59:41
10050680,2698,1674,61:39
10050681,2273,1701,57:43
10050682,2572,1377,65:35
10050683,0,0,0
10050684,2421,2017,54:46
10050685,2543,2039,55:45
10050686,2291,1727,57:43
10050687,2486,1509,62:38
10050688,2990,1653,64:36
10050689,2079,1589,56:44
10050690,1885,1429,56:44
10050691,2902,2185,57:43
10050692,2353,1926,54:46
10050693,1455,1066,57:43
10050694,0,0,0
10050695,2435,1686,59:41
10050696,2041,1533,57:43
10050697,0,0,0
10050698,0,0,0
10050699,2631,1825,59:41
10050700,2110,1622,56:44
10050701,1854,1138,61:39
10050702,2661,2105,55:45
10050703,2962,2127,58:42
10050704,2835,2202,56:44
10050705,2976,1752,62:38
10050706,2716,1764,60:40
10050707,2933,2034,59:41
10050708,2346,1723,57:43
10050709,2631,1633,61:39
10050710,3938,1979,66:34
10050711,2713,1879,59:41
10050712,2234,1416,61:39
10050713,2684,1692,61:39
10050714,2655,1685,61:39
10050715,2860,1712,62:38
10050716,3557,1530,69:31
10050717,2761,1866,59:41
10050718,3263,1980,62:38
10050719,1923,1441,57:43
10050720,2595,1641,61:39
10050721,3675,1757,67:33
10050722,2653,1567,62:38
10050723,2656,1892,58:42
10050724,2338,1673,58:42
10050725,0,0,0
10050726,2496,1662,60:40
10050727,2325,1566,59:41
10050728,2550,1644,60:40
10050729,2970,1637,64:36
10050730,2503,1902,56:44
10050731,1789,1240,59:41
10050732,2029,1696,54:46
10050733,2846,1450,66:34
10050734,1969,1385,58:42
10050735,0,0,0
10050736,2689,1771,60:40
10050737,2936,1744,62:38
10050738,0,0,0
10050739,2631,1386,65:35
10050740,2690,1881,58:42
10050741,1975,1280,60:40
10050742,2124,1487,58:42
10050743,2293,1271,64:36
10050744,2227,1397,61:39
10050745,2492,1460,63:37
10050746,2353,1653,58:42
10050747,2593,1677,60:40
10050748,2907,1749,62:38
10050749,2493,1653,60:40
10050750,943,631,59:41
10050751,2095,1422,59:41
