Number,Read,Write,RWRatio
10052887,2432,1480,62:38
10052888,2230,1583,58:42
10052889,2772,1258,68:32
10052890,2505,1346,65:35
10052891,1580,1165,57:43
10052892,2384,1511,61:39
10052893,2837,1179,70:30
10052894,1778,1327,57:43
10052895,2671,1322,66:34
10052896,2296,1488,60:40
10052897,2342,1272,64:36
10052898,2681,2117,55:45
10052899,1982,1328,59:41
10052900,0,0,0
10052901,2477,1130,68:32
10052902,2777,1587,63:37
10052903,2154,1229,63:37
10052904,2562,1123,69:31
10052905,2395,1716,58:42
10052906,2197,1322,62:38
10052907,2707,990,73:27
10052908,2649,1890,58:42
10052909,2584,1634,61:39
10052910,2556,1011,71:29
10052911,0,0,0
10052912,1889,1436,56:44
10052913,2111,1506,58:42
10052914,2916,1553,65:35
10052915,0,0,0
10052916,2796,1530,64:36
10052917,1843,1107,62:38
10052918,2333,1565,59:41
10052919,2070,1311,61:39
10052920,2665,1650,61:39
10052921,2323,1482,61:39
10052922,2471,1786,58:42
10052923,2318,1277,64:36
10052924,0,0,0
10052925,2427,1754,58:42
10052926,2652,1499,63:37
10052927,2442,1677,59:41
10052928,2008,1112,64:36
10052929,2481,1836,57:43
10052930,1941,1358,58:42
10052931,2243,1324,62:38
10052932,2208,1630,57:43
10052933,2032,1434,58:42
10052934,2562,1801,58:42
10052935,2930,1611,64:36
10052936,2353,1623,59:41
10052937,2363,1511,60:40
10052938,2421,1466,62:38
10052939,2539,1520,62:38
10052940,2371,1860,56:44
10052941,2694,1587,62:38
10052942,0,0,0
10052943,1943,1372,58:42
10052944,0,0,0
10052945,2461,1492,62:38
10052946,2600,1083,70:30
10052947,0,0,0
10052948,2292,1698,57:43
10052949,1987,1505,56:44
10052950,2387,1501,61:39
10052951,2579,1414,64:36
10052952,2282,1290,63:37
10052953,2092,1025,67:33
10052954,2157,1516,58:42
10052955,2232,1382,61:39
10052956,2640,1364,65:35
10052957,2377,1608,59:41
10052958,2769,1519,64:36
10052959,2610,1547,62:38
10052960,1903,1497,55:45
10052961,2274,1323,63:37
10052962,0,0,0
10052963,2423,1295,65:35
10052964,1733,966,64:36
10052965,1684,1118,60:40
10052966,2475,1732,58:42
10052967,2468,1223,66:34
10052968,2225,1225,64:36
10052969,2281,1674,57:43
10052970,2167,1407,60:40
10052971,2499,1377,64:36
10052972,2282,1225,65:35
10052973,2800,1690,62:38
10052974,1621,1443,52:48
10052975,1709,984,63:37
10052976,1217,1007,54:46
10052977,1398,1071,56:44
10052978,2514,1340,65:35
10052979,2320,1278,64:36
10052980,2076,1609,56:44
10052981,2376,1274,65:35
10052982,2140,1277,62:38
10052983,2211,1305,62:38
10052984,2088,944,68:32
10052985,2180,1277,63:37
10052986,1370,1174,53:47
10052987,0,0,0
10052988,1944,1550,55:45
10052989,2796,1741,61:39
10052990,2279,1517,60:40
10052991,0,0,0
10052992,2044,1457,58:42
10052993,2370,1301,64:36
10052994,2377,1748,57:43
10052995,2567,1282,66:34
10052996,0,0,0
10052997,2375,1524,60:40
10052998,2213,1092,66:34
10052999,2333,1373,62:38
10053000,2682,1863,59:41
10053001,2077,1161,64:36
10053002,2438,1727,58:42
10053003,2447,1655,59:41
10053004,2957,1573,65:35
10053005,2630,1615,61:39
10053006,2597,1454,64:36
10053007,2653,1549,63:37
10053008,1766,1176,60:40
10053009,2262,1215,65:35
10053010,2373,1227,65:35
10053011,2277,1112,67:33
10053012,1660,953,63:37
10053013,1554,1185,56:44
10053014,1740,999,63:37
10053015,2417,1178,67:33
10053016,2238,1731,56:44
10053017,2819,1556,64:36
10053018,2374,1314,64:36
10053019,1804,1101,62:38
10053020,2436,1446,62:38
10053021,0,0,0
10053022,2518,1527,62:38
10053023,1782,1390,56:44
10053024,2334,1513,60:40
10053025,2221,1267,63:37
10053026,1994,1213,62:38
10053027,2626,1739,60:40
10053028,2579,1581,61:39
10053029,2043,1340,60:40
10053030,2645,1658,61:39
10053031,2631,1266,67:33
10053032,2062,999,67:33
10053033,2614,1246,67:33
10053034,2005,1684,54:46
10053035,2028,1200,62:38
10053036,2992,2012,59:41
10053037,2801,1475,65:35
10053038,2350,1581,59:41
10053039,2541,1320,65:35
10053040,0,0,0
10053041,3084,1347,69:31
10053042,2426,1279,65:35
10053043,2095,1529,57:43
10053044,2519,1498,62:38
10053045,2572,1358,65:35
10053046,2958,1722,63:37
10053047,2410,1484,61:39
10053048,2195,1276,63:37
10053049,2266,1139,66:34
10053050,2331,1763,56:44
10053051,2494,1256,66:34
10053052,2485,1525,61:39
10053053,2022,1214,62:38
10053054,2277,1260,64:36
10053055,2057,1605,56:44
10053056,2599,1555,62:38
10053057,2233,1299,63:37
10053058,2386,1595,59:41
10053059,2411,1662,59:41
10053060,2448,1514,61:39
10053061,1809,1366,56:44
10053062,2278,1444,61:39
10053063,2435,1190,67:33
10053064,2144,1230,63:37
10053065,2787,1453,65:35
10053066,2452,1357,64:36
10053067,0,0,0
10053068,2434,1753,58:42
10053069,2422,1540,61:39
10053070,2174,1276,63:37
10053071,2860,2012,58:42
10053072,3052,2316,56:44
10053073,1894,1436,56:44
10053074,2384,1781,57:43
10053075,2242,1445,60:40
10053076,2671,1868,58:42
10053077,2105,1378,60:40
10053078,2189,1287,62:38
10053079,2872,1665,63:37
10053080,2446,1134,68:32
10053081,2515,1832,57:43
10053082,2909,1659,63:37
10053083,2205,1281,63:37
10053084,2044,1085,65:35
10053085,2099,1351,60:40
10053086,2657,1624,62:38
10053087,2188,1130,65:35
10053088,1528,844,64:36
10053089,2405,1900,55:45
10053090,2317,1640,58:42
10053091,2204,1528,59:41
10053092,2377,1882,55:45
10053093,2653,1383,65:35
10053094,0,0,0
10053095,2354,1322,64:36
10053096,2468,1631,60:40
10053097,1933,1476,56:44
10053098,1932,1365,58:42
10053099,2094,1481,58:42
10053100,2446,1745,58:42
10053101,3126,1889,62:38
10053102,2150,1523,58:42
10053103,2385,1432,62:38
10053104,2304,1587,59:41
10053105,2792,1549,64:36
10053106,2478,1456,62:38
10053107,2477,1617,60:40
10053108,3466,1760,66:34
10053109,2741,1588,63:37
10053110,3940,2224,63:37
10053111,2307,1228,65:35
10053112,2777,1921,59:41
10053113,2742,1599,63:37
10053114,2281,1274,64:36
10053115,1629,1096,59:41
10053116,2413,1467,62:38
10053117,2322,1247,65:35
10053118,2277,1176,65:35
10053119,2321,1569,59:41
10053120,2154,1449,59:41
10053121,2139,1317,61:39
10053122,2227,1180,65:35
10053123,2747,1827,60:40
10053124,2076,1451,58:42
10053125,2367,1843,56:44
10053126,0,0,0
10053127,1996,1283,60:40
10053128,1650,1560,51:49
10053129,2323,1634,58:42
10053130,2743,1838,59:41
10053131,0,0,0
10053132,1980,1207,62:38
10053133,2210,1288,63:37
10053134,2345,1125,67:33
10053135,2116,1525,58:42
10053136,2426,1387,63:37
10053137,1850,1045,63:37
10053138,2628,1745,60:40
10053139,2272,1413,61:39
10053140,2587,1452,64:36
10053141,0,0,0
10053142,2105,1579,57:43
10053143,2306,1504,60:40
10053144,2697,1632,62:38
10053145,2162,1084,66:34
10053146,2518,1512,62:38
10053147,1697,780,68:32
10053148,3049,2058,59:41
10053149,2288,1460,61:39
10053150,2678,1679,61:39
10053151,2341,1461,61:39
10053152,2486,1811,57:43
10053153,2393,1561,60:40
10053154,1689,1118,60:40
10053155,2353,1686,58:42
10053156,2293,1280,64:36
10053157,2479,1486,62:38
10053158,2381,1386,63:37
10053159,2598,1582,62:38
10053160,2507,1295,65:35
10053161,2425,1402,63:37
10053162,2708,1725,61:39
10053163,2538,1268,66:34
10053164,2012,1402,58:42
10053165,2898,1772,62:38
10053166,2297,1397,62:38
10053167,2241,1045,68:32
10053168,2585,1512,63:37
10053169,2789,1934,59:41
10053170,2529,1429,63:37
10053171,2162,1265,63:37
10053172,2431,1285,65:35
10053173,2118,1511,58:42
10053174,1997,1467,57:43
10053175,2551,1589,61:39
10053176,1665,1065,60:40
10053177,2793,1815,60:40
10053178,2617,1373,65:35
10053179,2259,1570,58:42
10053180,2574,1696,60:40
10053181,2900,1744,62:38
10053182,2500,1208,67:33
10053183,0,0,0
10053184,2644,1686,61:39
10053185,2898,1780,61:39
10053186,2295,1379,62:38
10053187,2487,1347,64:36
10053188,1812,1138,61:39
10053189,1989,1278,60:40
10053190,1956,1166,62:38
10053191,2251,1480,60:40
10053192,2723,1582,63:37
10053193,1490,1065,58:42
10053194,2077,1452,58:42
10053195,2725,1404,65:35
10053196,1567,884,63:37
10053197,2248,1527,59:41
10053198,2558,1690,60:40
10053199,2803,1466,65:35
10053200,0,0,0
10053201,2301,1680,57:43
10053202,2439,1314,64:36
10053203,2028,1525,57:43
10053204,2266,1338,62:38
10053205,2991,1356,68:32
10053206,2793,1502,65:35
10053207,0,0,0
10053208,787,593,57:43
10053209,3108,2077,59:41
10053210,2677,1906,58:42
10053211,2466,1133,68:32
10053212,3454,1792,65:35
10053213,3000,1399,68:32
10053214,2174,1494,59:41
10053215,1899,1525,55:45
10053216,2488,1712,59:41
10053217,2758,1761,61:39
10053218,2334,1435,61:39
10053219,2830,1689,62:38
10053220,2481,1760,58:42
10053221,2199,1472,59:41
10053222,1887,1299,59:41
10053223,3175,2065,60:40
10053224,2543,1500,62:38
10053225,2460,1582,60:40
10053226,2264,1668,57:43
10053227,2413,1235,66:34
10053228,2265,1355,62:38
10053229,2999,1926,60:40
10053230,2558,1565,62:38
10053231,2455,1573,60:40
10053232,2225,1443,60:40
10053233,1731,1164,59:41
10053234,0,0,0
10053235,1986,1194,62:38
10053236,2432,1440,62:38
10053237,2275,1518,59:41
10053238,2652,1417,65:35
10053239,2449,1665,59:41
10053240,2374,1287,64:36
10053241,2571,1557,62:38
10053242,2732,1684,61:39
10053243,2396,1478,61:39
10053244,2842,1600,63:37
10053245,2562,1411,64:36
10053246,3369,1716,66:34
10053247,2447,1335,64:36
10053248,2364,1525,60:40
10053249,2639,1494,63:37
10053250,3548,2129,62:38
10053251,2577,1306,66:34
10053252,2522,1330,65:35
10053253,2689,1528,63:37
10053254,2480,1734,58:42
10053255,2343,1618,59:41
10053256,2684,1846,59:41
10053257,0,0,0
10053258,2377,1431,62:38
10053259,0,0,0
10053260,0,0,0
10053261,2277,1270,64:36
10053262,2366,1074,68:32
10053263,2265,1268,64:36
10053264,0,0,0
10053265,2537,1466,63:37
10053266,2358,1382,63:37
10053267,2680,1849,59:41
10053268,2147,1494,58:42
10053269,0,0,0
10053270,1900,1320,59:41
10053271,2356,1538,60:40
10053272,1911,1180,61:39
10053273,2303,1417,61:39
10053274,2477,1252,66:34
10053275,2063,1440,58:42
10053276,2624,1812,59:41
10053277,2250,1741,56:44
10053278,2238,1256,64:36
10053279,2116,1219,63:37
10053280,2434,1743,58:42
10053281,1978,1102,64:36
10053282,2700,1559,63:37
10053283,2755,1601,63:37
10053284,0,0,0
10053285,2219,1158,65:35
10053286,2484,1574,61:39
10053287,2153,1189,64:36
10053288,2370,1352,63:37
10053289,3059,2333,56:44
10053290,3572,2566,58:42
10053291,3119,2502,55:45
10053292,3438,2655,56:44
10053293,3406,2654,56:44
10053294,3511,2601,57:43
10053295,3798,2808,57:43
10053296,0,0,0
10053297,3030,2191,58:42
10053298,2216,1425,60:40
10053299,2753,1954,58:42
10053300,2398,1376,63:37
10053301,2624,1630,61:39
10053302,2065,1555,57:43
10053303,2309,1189,66:34
10053304,2293,1578,59:41
10053305,2676,1514,63:37
10053306,2609,1594,62:38
10053307,2604,1490,63:37
10053308,2515,1137,68:32
10053309,3056,1601,65:35
10053310,1660,1168,58:42
10053311,2470,1025,70:30
10053312,1946,1531,55:45
10053313,2222,1480,60:40
10053314,2777,1586,63:37
10053315,2453,1771,58:42
10053316,2055,1552,56:44
10053317,0,0,0
10053318,2386,1607,59:41
10053319,2377,1832,56:44
10053320,2475,1155,68:32
10053321,2993,1655,64:36
10053322,2492,1661,60:40
10053323,2376,1526,60:40
10053324,2285,1260,64:36
10053325,1931,1052,64:36
10053326,2762,1616,63:37
10053327,2220,1350,62:38
10053328,2274,1460,60:40
10053329,2379,1371,63:37
10053330,3051,1758,63:37
10053331,2173,1465,59:41
10053332,2583,1608,61:39
10053333,2347,1353,63:37
10053334,2639,1344,66:34
10053335,2601,1625,61:39
10053336,2736,1564,63:37
10053337,2049,1254,62:38
10053338,2286,1210,65:35
10053339,2731,1283,68:32
10053340,2746,1909,58:42
10053341,1859,1179,61:39
10053342,2312,1224,65:35
10053343,1745,1060,62:38
10053344,225,173,56:44
10053345,2054,1333,60:40
10053346,2000,1436,58:42
10053347,1987,1379,59:41
10053348,3343,2366,58:42
10053349,2788,1426,66:34
10053350,2868,1826,61:39
10053351,2974,1585,65:35
10053352,0,0,0
10053353,1692,1155,59:41
10053354,2306,1639,58:42
10053355,2733,1657,62:38
10053356,2098,1086,65:35
10053357,2737,1542,63:37
10053358,2377,1436,62:38
10053359,2545,1487,63:37
10053360,2524,1600,61:39
10053361,0,0,0
10053362,2515,1462,63:37
10053363,1970,1352,59:41
10053364,2615,1238,67:33
10053365,2049,1466,58:42
10053366,1625,1293,55:45
10053367,1531,1097,58:42
10053368,2521,1793,58:42
10053369,1693,1264,57:43
10053370,2315,1344,63:37
10053371,2747,1649,62:38
10053372,1231,738,62:38
10053373,2285,1474,60:40
10053374,2347,1474,61:39
10053375,2228,1659,57:43
10053376,2315,1235,65:35
10053377,1957,1370,58:42
10053378,2081,1199,63:37
10053379,2462,1034,70:30
10053380,2197,1305,62:38
10053381,2119,1233,63:37
10053382,1794,1170,60:40
10053383,2335,1370,63:37
10053384,2589,1586,62:38
10053385,2987,1391,68:32
10053386,1804,1162,60:40
10053387,2476,1355,64:36
10053388,2291,1508,60:40
10053389,1936,1401,58:42
10053390,2629,1526,63:37
10053391,2394,1756,57:43
10053392,2503,1549,61:39
10053393,2922,1817,61:39
10053394,1905,1280,59:41
10053395,2632,1551,62:38
10053396,1295,1106,53:47
10053397,2683,1411,65:35
10053398,2334,1249,65:35
10053399,2630,1495,63:37
10053400,2282,1509,60:40
10053401,2280,1208,65:35
10053402,1638,1615,50:50
10053403,2419,1662,59:41
10053404,2746,1631,62:38
10053405,2054,1494,57:43
10053406,2781,1950,58:42
10053407,2544,1264,66:34
10053408,1829,1270,59:41
10053409,0,0,0
10053410,1571,870,64:36
10053411,1663,1251,57:43
10053412,2573,1621,61:39
10053413,2522,1519,62:38
10053414,2470,1684,59:41
10053415,2861,1669,63:37
10053416,2488,1621,60:40
10053417,1909,1341,58:42
10053418,1339,1012,56:44
10053419,2575,1482,63:37
10053420,1479,965,60:40
10053421,1316,1039,55:45
10053422,2190,1539,58:42
10053423,2854,1799,61:39
10053424,2318,1596,59:41
10053425,2769,1426,66:34
10053426,2021,1439,58:42
10053427,2163,1416,60:40
10053428,2260,1514,59:41
10053429,1259,940,57:43
10053430,2095,1129,64:36
10053431,2584,1474,63:37
10053432,2534,1673,60:40
10053433,1645,1032,61:39
10053434,2223,1571,58:42
10053435,3281,1753,65:35
10053436,2601,1113,70:30
10053437,0,0,0
10053438,2375,1509,61:39
10053439,2957,1411,67:33
10053440,2780,1683,62:38
10053441,2060,1353,60:40
10053442,2656,1460,64:36
10053443,2335,1638,58:42
10053444,2446,1773,57:43
10053445,2534,1474,63:37
10053446,2506,1235,66:34
10053447,2673,1944,57:43
10053448,3084,1866,62:38
10053449,1441,1013,58:42
10053450,2348,1341,63:37
10053451,2289,1895,54:46
10053452,0,0,0
10053453,2238,1608,58:42
10053454,2079,1353,60:40
10053455,1526,1117,57:43
10053456,2230,1432,60:40
10053457,1624,1322,55:45
10053458,1928,1311,59:41
10053459,2299,1824,55:45
10053460,2164,1572,57:43
10053461,0,0,0
10053462,2005,1180,62:38
10053463,3066,1724,64:36
10053464,1656,1385,54:46
10053465,2382,1804,56:44
10053466,2976,1601,65:35
10053467,2792,1569,64:36
10053468,3515,1829,65:35
10053469,2739,1666,62:38
10053470,2364,1479,61:39
10053471,0,0,0
10053472,2571,1948,56:44
10053473,3045,1386,68:32
10053474,2094,1162,64:36
10053475,2113,1203,63:37
10053476,2108,1625,56:44
10053477,1734,1058,62:38
10053478,3072,1616,65:35
10053479,2212,1212,64:36
10053480,2204,1411,60:40
10053481,2693,1781,60:40
10053482,854,911,48:52
10053483,2221,1310,62:38
10053484,2492,1884,56:44
10053485,3007,1224,71:29
10053486,2460,1339,64:36
10053487,2286,1821,55:45
10053488,2456,1269,65:35
10053489,1683,1458,53:47
10053490,1915,1237,60:40
10053491,2339,1533,60:40
10053492,0,0,0
10053493,2819,1628,63:37
10053494,3122,1659,65:35
10053495,2089,1478,58:42
10053496,2630,1885,58:42
10053497,2087,1032,66:34
10053498,2389,1634,59:41
10053499,3188,1674,65:35
10053500,1919,1224,61:39
10053501,2758,1513,64:36
10053502,2300,1341,63:37
10053503,2604,1168,69:31
10053504,2446,1189,67:33
10053505,2175,1463,59:41
10053506,3063,1729,63:37
10053507,1874,1487,55:45
10053508,2328,1279,64:36
10053509,2314,1424,61:39
10053510,2522,1499,62:38
10053511,2657,1277,67:33
10053512,0,0,0
10053513,3152,1764,64:36
10053514,2475,1300,65:35
10053515,2136,1189,64:36
10053516,1748,1419,55:45
10053517,2441,1426,63:37
10053518,1902,980,65:35
10053519,2361,1372,63:37
10053520,1947,1158,62:38
10053521,1598,1003,61:39
10053522,2077,1379,60:40
10053523,2262,1710,56:44
10053524,2094,1651,55:45
10053525,2158,1025,67:33
10053526,1979,1024,65:35
10053527,2615,1294,66:34
10053528,2803,1072,72:28
10053529,2511,1582,61:39
10053530,2409,1156,67:33
10053531,2595,1190,68:32
10053532,1618,1222,56:44
10053533,2231,1381,61:39
10053534,2362,806,74:26
10053535,3408,2299,59:41
10053536,2004,1442,58:42
10053537,2342,1612,59:41
10053538,1902,1211,61:39
10053539,2243,1439,60:40
10053540,1838,1280,58:42
10053541,0,0,0
10053542,2166,1424,60:40
10053543,2633,1821,59:41
10053544,2285,1825,55:45
10053545,2114,1175,64:36
10053546,2798,1516,64:36
10053547,2206,1508,59:41
10053548,2425,1169,67:33
10053549,2093,1407,59:41
10053550,2968,1726,63:37
10053551,2387,1597,59:41
10053552,2187,1639,57:43
10053553,1693,1646,50:50
10053554,2314,1235,65:35
10053555,1183,1310,47:53
10053556,1720,1266,57:43
10053557,1630,1257,56:44
10053558,2197,1393,61:39
10053559,0,0,0
10053560,2175,1299,62:38
10053561,1800,1066,62:38
10053562,2565,1490,63:37
10053563,2254,1156,66:34
10053564,1795,1106,61:39
10053565,3404,2088,61:39
10053566,0,0,0
10053567,2460,1384,63:37
10053568,2086,1452,58:42
10053569,2524,1582,61:39
10053570,1832,1368,57:43
10053571,1861,1128,62:38
10053572,2570,1643,61:39
10053573,0,0,0
10053574,1318,944,58:42
10053575,2572,1600,61:39
10053576,2423,1541,61:39
10053577,2416,1610,60:40
10053578,2559,1321,65:35
10053579,2427,1435,62:38
10053580,2429,1741,58:42
10053581,2233,1485,60:40
10053582,3092,1630,65:35
10053583,2599,1514,63:37
10053584,1475,1173,55:45
10053585,2672,1411,65:35
10053586,2158,1279,62:38
10053587,2433,1414,63:37
10053588,2161,1213,64:36
10053589,1316,798,62:38
10053590,2130,1396,60:40
10053591,1749,1097,61:39
10053592,2325,1320,63:37
10053593,2398,1214,66:34
10053594,2165,1437,60:40
10053595,1542,1123,57:43
10053596,2420,1541,61:39
10053597,2124,975,68:32
10053598,2083,1752,54:46
10053599,2227,1493,59:41
10053600,3030,1272,70:30
10053601,2793,1104,71:29
10053602,2261,1485,60:40
10053603,2151,1285,62:38
10053604,2899,1575,64:36
10053605,2759,1714,61:39
10053606,1885,1388,57:43
10053607,2550,1398,64:36
10053608,2505,1350,64:36
10053609,2594,1434,64:36
10053610,2479,1379,64:36
10053611,2444,1410,63:37
10053612,2739,1318,67:33
10053613,2701,1498,64:36
10053614,3107,961,76:24
10053615,0,0,0
10053616,3069,1189,72:28
10053617,1332,1040,56:44
10053618,2198,1296,62:38
10053619,2773,1844,60:40
10053620,2300,1457,61:39
10053621,2783,1660,62:38
10053622,2503,1108,69:31
10053623,2924,1280,69:31
10053624,0,0,0
10053625,2215,1188,65:35
10053626,1524,1012,60:40
10053627,140,119,54:46
10053628,2774,833,76:24
10053629,2241,729,75:25
10053630,2219,1554,58:42
10053631,2384,1635,59:41
10053632,2431,1277,65:35
10053633,2080,1455,58:42
10053634,2333,1273,64:36
10053635,2217,1599,58:42
10053636,2284,1346,62:38
10053637,2936,1641,64:36
10053638,2039,1160,63:37
10053639,2651,1196,68:32
10053640,2414,1347,64:36
10053641,1669,1335,55:45
10053642,0,0,0
10053643,1537,1166,56:44
10053644,2629,1358,65:35
10053645,1444,1089,57:43
10053646,2154,1359,61:39
10053647,2777,1525,64:36
10053648,2482,1738,58:42
10053649,1845,1303,58:42
10053650,2698,1909,58:42
10053651,2802,1657,62:38
10053652,2592,1093,70:30
10053653,2684,994,72:28
10053654,2720,1566,63:37
10053655,2804,1266,68:32
10053656,2971,1466,66:34
10053657,468,306,60:40
10053658,2296,1400,62:38
10053659,2357,1771,57:43
10053660,2266,1798,55:45
10053661,2390,1197,66:34
10053662,2274,1783,56:44
10053663,2083,1142,64:36
10053664,2795,1895,59:41
10053665,2602,1918,57:43
10053666,2576,1489,63:37
10053667,2751,1720,61:39
10053668,1265,1061,54:46
10053669,1883,1129,62:38
10053670,2777,1482,65:35
10053671,2262,1554,59:41
10053672,2175,1114,66:34
10053673,1054,707,59:41
10053674,2084,1559,57:43
10053675,2288,1470,60:40
10053676,2188,1559,58:42
10053677,3076,1546,66:34
10053678,2872,1665,63:37
10053679,2604,1401,65:35
10053680,2537,1654,60:40
10053681,0,0,0
10053682,2068,1275,61:39
10053683,2280,1476,60:40
10053684,2432,1356,64:36
10053685,2839,1342,67:33
10053686,2916,1499,66:34
10053687,2323,1568,59:41
10053688,94,71,56:44
10053689,2057,1027,66:34
10053690,2189,1527,58:42
10053691,2179,1457,59:41
10053692,2485,1672,59:41
10053693,2349,1474,61:39
10053694,1924,1172,62:38
10053695,2796,2091,57:43
10053696,2488,1301,65:35
10053697,2217,1392,61:39
10053698,2704,1649,62:38
10053699,2905,1615,64:36
10053700,2174,1148,65:35
10053701,2175,1028,67:33
10053702,2994,1895,61:39
10053703,2813,1642,63:37
10053704,2348,1544,60:40
10053705,2438,1333,64:36
10053706,2361,1382,63:37
10053707,1695,1051,61:39
10053708,2470,1364,64:36
10053709,2564,1549,62:38
10053710,0,0,0
10053711,2111,1577,57:43
10053712,2111,973,68:32
10053713,2228,1279,63:37
10053714,2776,1631,62:38
10053715,2594,1828,58:42
10053716,2601,1603,61:39
10053717,2198,1126,66:34
10053718,2674,1649,61:39
10053719,2244,1063,67:33
10053720,0,0,0
10053721,2581,1155,69:31
10053722,3437,1881,64:36
10053723,0,0,0
10053724,2022,1546,56:44
10053725,1886,1015,65:35
10053726,2334,1159,66:34
10053727,1911,1068,64:36
10053728,2583,1802,58:42
10053729,2326,1342,63:37
10053730,2271,1117,67:33
10053731,2274,1154,66:34
10053732,2183,1499,59:41
10053733,0,0,0
10053734,2470,1403,63:37
10053735,2075,1049,66:34
10053736,2381,1485,61:39
10053737,2551,1774,58:42
10053738,2672,1860,58:42
10053739,2271,1350,62:38
10053740,2378,1501,61:39
10053741,2420,1548,60:40
10053742,2269,1457,60:40
10053743,2843,1645,63:37
10053744,2356,1309,64:36
10053745,2369,1545,60:40
10053746,2669,1649,61:39
10053747,1979,894,68:32
10053748,3274,1840,64:36
10053749,0,0,0
10053750,2385,1353,63:37
10053751,2407,1359,63:37
10053752,2747,1496,64:36
10053753,2244,1355,62:38
10053754,2523,1547,61:39
10053755,2769,1219,69:31
10053756,2384,1487,61:39
10053757,2566,1232,67:33
10053758,2688,1341,66:34
10053759,2872,1472,66:34
10053760,1270,744,63:37
10053761,2126,1245,63:37
10053762,2131,1477,59:41
10053763,2815,1839,60:40
10053764,2571,1595,61:39
10053765,2656,1078,71:29
10053766,1610,1262,56:44
10053767,2238,1227,64:36
10053768,3014,1599,65:35
10053769,3112,1495,67:33
10053770,2582,1195,68:32
10053771,2668,1667,61:39
10053772,2725,1202,69:31
10053773,2633,1370,65:35
10053774,2395,1484,61:39
10053775,2384,1761,57:43
10053776,2625,1429,64:36
10053777,2423,1647,59:41
10053778,1881,1351,58:42
10053779,0,0,0
10053780,1714,1228,58:42
10053781,2809,1812,60:40
10053782,2267,1582,58:42
10053783,3108,1935,61:39
10053784,2467,1562,61:39
10053785,2509,1254,66:34
10053786,0,0,0
10053787,2297,1639,58:42
10053788,2672,1801,59:41
10053789,2655,1179,69:31
10053790,2456,1274,65:35
10053791,2184,1435,60:40
10053792,2219,1511,59:41
10053793,2123,1182,64:36
10053794,2387,1403,62:38
10053795,3163,1757,64:36
10053796,2146,1248,63:37
10053797,2246,1651,57:43
10053798,2638,1311,66:34
10053799,2277,1417,61:39
10053800,2760,1546,64:36
10053801,2360,1331,63:37
10053802,2521,1414,64:36
10053803,1653,1095,60:40
10053804,2248,1698,56:44
10053805,2249,1290,63:37
10053806,2104,1195,63:37
10053807,2240,1294,63:37
10053808,2644,1482,64:36
10053809,1823,923,66:34
10053810,3723,1889,66:34
10053811,2463,1555,61:39
10053812,2583,1685,60:40
10053813,2026,1370,59:41
10053814,1490,1225,54:46
10053815,2160,1369,61:39
10053816,2328,1338,63:37
10053817,2445,1582,60:40
10053818,2109,1428,59:41
10053819,2170,1460,59:41
10053820,2422,1509,61:39
10053821,2359,1207,66:34
10053822,2280,1326,63:37
10053823,2746,1283,68:32
10053824,2314,1426,61:39
10053825,2425,1398,63:37
10053826,2392,1463,62:38
10053827,1672,1267,56:44
10053828,2240,1189,65:35
10053829,2487,1303,65:35
10053830,2352,1608,59:41
10053831,2418,1486,61:39
10053832,2132,1040,67:33
10053833,2327,1620,58:42
10053834,0,0,0
10053835,3172,1615,66:34
10053836,2616,1441,64:36
10053837,0,0,0
10053838,2398,1409,62:38
10053839,2313,1617,58:42
10053840,0,0,0
10053841,2240,1230,64:36
10053842,2188,1015,68:32
10053843,2658,1876,58:42
10053844,0,0,0
10053845,2428,1183,67:33
10053846,2730,1847,59:41
10053847,2210,1383,61:39
10053848,2306,1609,58:42
10053849,2803,1589,63:37
10053850,2823,1087,72:28
10053851,1920,1393,57:43
10053852,2587,1568,62:38
10053853,2371,1468,61:39
10053854,2441,1287,65:35
10053855,2313,1509,60:40
10053856,2948,1457,66:34
10053857,1522,1217,55:45
10053858,2100,1216,63:37
10053859,2174,1514,58:42
10053860,3006,1892,61:39
10053861,2724,1757,60:40
10053862,2817,1406,66:34
10053863,2841,1768,61:39
10053864,2658,1808,59:41
10053865,0,0,0
10053866,2551,1453,63:37
10053867,2732,1714,61:39
10053868,2735,1973,58:42
10053869,1703,1370,55:45
10053870,2554,1777,58:42
10053871,1940,1236,61:39
10053872,0,0,0
10053873,2526,1731,59:41
10053874,1735,997,63:37
10053875,1347,1146,54:46
10053876,2033,1305,60:40
10053877,0,0,0
10053878,2085,1408,59:41
10053879,2500,1768,58:42
10053880,2725,1746,60:40
10053881,2220,1132,66:34
10053882,2827,1803,61:39
10053883,2861,1620,63:37
10053884,2214,1696,56:44
10053885,2931,1553,65:35
10053886,2087,1324,61:39
10053887,1866,1370,57:43
10053888,2032,1377,59:41
10053889,2474,1531,61:39
10053890,2910,1381,67:33
10053891,1890,1364,58:42
10053892,2171,1371,61:39
10053893,1905,1180,61:39
10053894,1761,1312,57:43
10053895,1863,1128,62:38
10053896,2519,1517,62:38
10053897,1683,1280,56:44
10053898,2152,1501,58:42
10053899,2608,1433,64:36
10053900,0,0,0
10053901,2323,1563,59:41
10053902,2201,1747,55:45
10053903,1427,1018,58:42
10053904,2088,1486,58:42
10053905,2345,1661,58:42
